trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,fixation.started,key_resp.started,fixation.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,
46,0,46,0,109.10948150000331,110.09516260000237,110.11170780000248,down,1,0.7321353999941493,None,-4,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
47,0,47,0,110.8592792000054,111.8437952000022,111.86055690000649,down,1,0.586252199995215,None,-4,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
48,0,48,0,112.4575113000028,113.44393160000618,113.46058880000055,down,1,0.5512336999890977,None,-4,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
49,0,49,0,114.02456300000631,115.01049469999998,115.02806150000106,down,0,1.405657599992992,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
50,0,50,0,116.4571075000058,117.4430760000032,117.45941740000126,down,1,1.2840168999900925,None,-4,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
51,0,51,0,118.77314340000157,119.75853600000119,119.77515359999961,down,0,0.8449080999998841,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
52,0,52,0,120.63937650000298,121.62520510000468,121.6412466000038,up,1,1.3588919999965583,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
53,0,53,0,123.0224942000059,124.00813330000528,124.02468750000116,down,1,0.9634034999908181,None,3,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
54,0,54,0,125.00517060000129,125.99064820000058,126.00856840000051,down,0,1.2571595999907004,None,0,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
55,0,55,0,127.27223420000519,128.27232840000215,128.27232840000215,down,1,0.7114935999925365,None,4,714593,001,2023-09-08_11h40.00.606,orientationdiscriminiationtask,2023.1.3,59.96947553665393,
